city,eldership,street,object_name,total_views,views_today,likes,price,price_sq,house_number,flat_number,area,rooms,floor,total_floors,year,object_type,building_type,heating,furnishing,energy_class,window_direction,qualities,facilities,equipment,security,object_id,distance_kindergarden,distance_school,distance_bus_stop,distance_shop,crimes,no2,kd10,time_cathedral,time_train_station,distance_cathedral,distance_train_station,description,contact
Vilnius, Verkiai, Verkių g., 4 kambarių butas,14967,73,54,555000,3881,68,,143.0,4,2,3,2007,,Mūrinis,Centrinis kolektorinis,Įrengtas,B,,Uždaras kiemas Kabelinė televizija Internetas Nauja kanalizacija Nauja elektros instaliacija Virtuvė sujungta su kambariu,Vieta automobiliui Balkonas Drabužinė,Šildomos grindys Su baldais Plastikiniai vamzdžiai Kondicionierius Skalbimo mašina Šaldytuvas Virtuvės komplektas Viryklė Indaplovė Dušo kabina Vonia,Šarvuotos durys Kodinė laiptinės spyna Signalizacija Vaizdo kameros Budintis sargas,,520,570,430,580,,,,24.5,30.5,6.6,9,"Ypatingas butas Verkiuose, Vilniuje.

Parduodamas butas, išskirtinėje Vilniaus vietoje. Uždaras namų kvartalas „Verkių slėnis“ 2007-ais metais iškilo visai šalia Neries upės ir mažo Cedrono upelio. Į rytus (į saulę) tekančių Neries slėnio upelių vanduo kadaise laikytas ypatingu, gyvybę teikiančiu. Šalia ir XVIII a. barokinė Šv. Trejybės (Trinapolio) bažnyčia, o kiek toliau – Verkių dvaro parkas ir vandens malūnas. Patogus susisiekimas. Visai šalia – puikūs dviračių ir pėsčiųjų takai. Netoli visuomeninio transporto bei City Bee automobilių nuomos stotelės.
Buto plotas (142 kv.m.), suskirstytas į tris funkcines erdves. Didelė svetainė su virtuvės zona – bendram šeimos laikui, didelis miegamasis su vonios kambariu – tėvų zona, bei du mažesni vaikų (darbo,svečių) kambariai su jiems skirtu atskiru vonios kambariu. Taip pat yra net keturi balkonai. Atskira buitinė patalpa – skalbykla su skalbinių džiovykle.
Butas stilingai ir jaukiai įrengtas, naudojant kokybiškas medžiagas. Jūsų patogumui - kokybiški baldai ir buitinė technika.
Pastato energetinio naudingumo klasė – B, todėl kolektorinis buto šildymas itin ekonomiškas. Taip pat yra oro kondicionavimo sistema visuose kambariuose. Namų kvartalas aptvertas, stebimas vaizdo kameromis ir 24/7 saugomas apsaugos darbuotojo. Teritorija kruopščiai prižiūrima, valoma, puoselėjami gėlynai ir vejos. Kieme, pro langus matoma, vaikų žaidimų aikštelė.
Buto pirkėjas turi pirmumo teisę įsigyti vieną arba dvi šalia esančias automobilių parkavimo vietas požeminėje aikštelėje. Vienos vietos kaina – 17 000 EUR.",+37065776060
Vilnius, Markučiai, Subačiaus g., 1 kambario butas,10790,58,55,37200,2325,120,,16.0,1,4,5,1974,,Mūrinis,Centrinis,Įrengtas,,,Virtuvė sujungta su kambariu,,Skalbimo mašina Su baldais Vonia,Kodinė laiptinės spyna,,80,810,90,80,,,,11.5,9.5,3.4,3,"Parduodamas vieno kambario butas (bloke) su bendro naudojimo patalpomis, Markučiuose, Subačiaus g.120.
Butas ribojasi su Pavilnių regioniniu parku, Šalia teka Vilnelė. Tyla, ramybė ir grynas oras garantuotas. Prie Paupio, Užupio ir Belmonto rajonų. Šalia PC Maxima, autobusų stotelė, naujas sporto stadionas (tenisas, tinklinis, krepšinis, treniruokliai), pasivaikščiojimo ir dviračio takas. Labai maži komunaliniai mokesčiai.

BENDRA INFORMACIJA:
• Adresas: Subačiaus g. 120, Vilnius
• Buto plotas: 12 kv.m. + bendro naudojimo patalpų dalis 4 kv.m.
• Aukštas: 4 iš 5
• Pastato tipas: Mūrinis;
• WC ir vonios kambariu dalinsitės tik su vienais kaimynais;
• Patogus susisiekimas su visomis miesto dalimis, greta viešojo transporto stotelės",+370 606 22194
Vilnius, Naujininkai, Pelesos g., 1 kambario butas,7430,135,25,9988,188,37,,53.09,1,3,3,1940,,Mūrinis,Kita,Kita,,,Varžytynės/aukcionas,,,,,340,260,60,300,14,123,23.33,14.0,5.5,3.8,1.4,"VILNIAUS MIESTO SAVIVALDYBĖ VIEŠO AUKCIONO BŪDU PARDUODA NEKILNOJAMĄJĮ TURTĄ (toliau – turtas)
Negyvenamoji patalpa – neįrengta pastogė (unikalus Nr. 4400-0139-8969:7462, 1664/10000 dalys iš 319,03 kv. m, pastatas mūrinis, pažymėjimas plane 1A3/p); Pelesos g. 37, Vilnius
TURTO NAUDOJIMO SĄLYGA. Patalpa yra gyvenamajame name, kuris nėra įrašytas į Kultūros vertybių registrą, tačiau yra nekilnojamosios kultūros vertybės - valstybės saugomos
nekilnojamosios kultūros vertybės – Vilniaus senamiesčio, paskelbto kultūros paminklu (unikalus kodas – 16073) vizualinės apsaugos pozonio teritorijoje. Kultūros paveldo objektų naudojimas ir tvarkymas bei kitų statinių, esančių jo teritorijoje statybos (remonto, rekonstrukcijos) darbai reglamentuojami Lietuvos Respublikos nekilnojamojo kultūros paveldo apsaugos įstatymu bei kitais teisės aktais.
TURTO PARDAVIMO SĄLYGA. Patalpos parduodamos esamos būklės.
Pradinė pardavimo kaina – 9988 €.
Mažiausias kainos didinimo intervalas – 99 €.
Aukciono dalyvio garantinis įnašas – 998 €.
Aukciono dalyvio registravimo mokestis – 70 €.
Turto apžiūra 2025-11-06 10.00 val. ir 2025-11-13 10.00 val. Apžiūros laiką suderinti su darbuotoju, atsakingu už turto apžiūrą: Aurelija Snieškienė, vyr. specialistė, tel. (0 5) 211 2668, 0 678 13389, el. paštas aurelija.snieskiene@vilnius.lt arba Eglė Barcienė, vyr. specialistė, mob. tel. 0 664 56 039, el. paštas egle.barciene@vilnius.lt.
Registracijos pradžia 2025-11-17, 0.00 val., pabaiga 2025-11-19, 23.59 val.
Aukcionai vykdomi informacinių technologijų priemonėmis interneto svetainėje http://www.evarzytynes.lt/.
Aukciono pradžia 2025-11-24, 9.00 val., pabaiga 2025-11-25, 13.59 val.
Aukciono dalyvio garantinis įnašas ir registravimo mokestis turi būti sumokėti iki dokumentų pateikimo registruoti (mokėti į Vilniaus miesto savivaldybės administracijos (kodas 188710061), sąskaitą LT63 7044 0600 0123 5132, AB SEB banke, banko kodas 70440).
Nekilnojamojo turto pirkimo-pardavimo sutartis su aukciono laimėtoju turi būti sudaryta per 30 dienų nuo pardavimo aukcione vykdymo dienos, o visa nekilnojamojo turto kaina sumokėta ne vėliau kaip per 10 dienų po nekilnojamojo turto pirkimo-pardavimo sutarties pasirašymo.
Darbuotoja atsakinga už informacijos teikimą: Nekilnojamojo turto skyriaus vyr. specialistė Ramūnė Abukauskienė, tel. (+370 5) 211 2711, 211 2705, el. paštas ramune.abukauskiene@vilnius.lt.
Informaciją dėl sutarčių projektų teikia Teisės grupės patarėja Vilma Jūrienė, tel. (.
Daugiau skelbimų rasite evarzytines.lt, vilnius.lt, realu.lt",+370 521 12711
Vilnius, Senamiestis, Bokšto g., 3 kambarių butas,21152,75,208,350000,4487,,,78.0,3,2,4,2000,,Mūrinis,Centrinis,Įrengtas,,,,,,,,250,20,120,240,4,,,6.0,9.5,1.3,2.2,"PARDUODAMAS 3 kambarių, 78 m² butas Vilniaus Senamiestyje, Bokšto gatvėje. Aukštas antras iš keturių. 2000 metų statyba.

IŠPLANAVIMAS
• du atskiri miegamieji kambariai;
• svetainė su dalinai atskira virtuve;
• vonia su wc;
• atskiras įėjimas iš vidinio kiemo;

APDAILA IR PRIVALUMAI
• name yra liftas;
• centrinis reguliuojamas šildymas, nedidelės sąskaitos;
• nedaug kaimynų, geranoriška bendruomenė;
• daug langų - butas šviesus ir jaukus;

Jauki ir rami Senamiesčio gatvė, visai šalia yra Barbakano gynybinė bastėja, Rotušė ir kitos lankytinos istorinės Vilniaus Senamiesčio vietos.



-- Objekto nr. Ober-Haus tinklapyje www.ober-haus.lt/OH491386

Profesionali pagalba parduodant, nuomojant ir įsigyjant nekilnojamąjį turtą:
- Sandoriui reikalingų dokumentų analizė prieš pardavimą;
- Preliminariųjų, rezervavimo sutarčių, priėmimo-perdavimo aktų ir kitų sutarties priedų bei dokumentų parengimas apsaugant jūsų interesus;
- Efektyvi ir itin platų pirkėjų ratą apimanti rinkodara ir marketingo priemonės, pirkėjų srauto monitoringas;
- Jūsų interesų atstovavimas derybose, sutarčių derinime;
- Konsultavimas mokestiniais, juridiniais klausimais.",+370 612 40254
Vilnius, Naujoji Vilnia, Pramonės g., 1 kambario poilsio patalpa,23620,63,108,41900,1496,107,,28.0,1,4,4,1970,"Patalpa, poilsio paskirtis",Mūrinis,Elektra,Įrengtas,,Pietūs,Nauja kanalizacija Nauja elektros instaliacija Internetas Virtuvė sujungta su kambariu,,Kondicionierius Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Dušo kabina,Šarvuotos durys Kodinė laiptinės spyna Vaizdo kameros,,480,640,250,780,1,,,23.5,21.0,11.4,10.8,"Parduodamas studijos tipo būstas Pramonės g. 107.
Patalpos parduodamos su baldais ir buitine technika.
Šildymas ir šaldymas (LABAI AKTUALU VASARĄ) oras-oras šilumos siurbliu, karštas vanduo gaminamas boileriu.
Sienos - tapetai, grindys - laminatas, lubos - įtempiamos.
Atvestas naujas elektros įvadas, stovi ESO skaitiklis.
Suremontuota laiptinė, įėjimas su kodine spyna.
Namo prieigos ir laiptinė dėl saugumo stebimos vaizdo kameromis.
Nėra didelių problemų su automobilių stovėjimu, be to, šalia namo yra autobusų stotelė.
Galima deklaruoti gyvenamąją vietą.
Svarstytina ir galimybė parduoti išperkamąja nuoma.
Atkreipkite dėmesį į prie skelbimo kaip nuotrauką prisegtą žemėlapį. Jame nurodyta tiksli parduodamo turto vieta.

NT BROKERIAMS - prašau kreiptis į mane tik jei turite konkretų klientą, ieškantį panašaus nekilnojamojo turto.",+37065571147
Vilnius, Naujoji Vilnia, A. Kojelavičiaus g., 5 kambarių butas,4993,50,17,140000,1477,125,3,94.76,5,1,2,1940,,Mūrinis,"Elektra, dujinis",Įrengtas,,,Atskiras įėjimas Tualetas ir vonia atskirai Nauja kanalizacija,,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Viryklė Dušo kabina,,,830,11,110,620,1,,,20.0,17.0,9.7,9.1,"Parduodamas investicinis objektas kartu su nuomininkais.

Butas yra mūriniame lentelėmis apkaltame name. 94m2 butas su atskiru įėjimu, padalintas į 5 atskirus, pilnai įrengtus kambarius, du vonios kambariai su wc, atskira virtuvė su valgomuoju. Šiuo metu nuomojama statybų kompanijai kaip visas objektas. Nuomojant kambariais būtų galima didesnė grąža.
Žinoma, Nauja Vilnia is the new black - čia keliasi daug jaunimo, alernatyvių veiklų ir verslų. Nuostabus susisiekimas su senamiesčiu (vos 7 minutės iki Paupio). Prognozuojamas NT turto vertės kilimas visoje Naujojoje Vinioje.

Šiuo metu šildoma elektiniais radiatoriais, tačiau kiti butai šildosi dujomis, tad yra galimybė nesudėtingai įsirengti dujas,

Butui priklauso 5,5 aro žemės sklypo (iš 12,47a,). Pagal naujajį miesto planą, čia galima vystyti daugiabučius, tad supirkus butus iš kaimynų galima išvystyti apie 700-800 m2 daugiabutį. Net jei nevystysite patys, atetyje galėsite brangiai parduoti vystytojams.

Šiuo metu tvarkoma A. Kojelavičiaus gatvė. Atnaujinami šaligatviai, apšvietimas, asfaltas. Netoliese planuojami 2 nauji daugiabučiai.",+370 699 52736
Vilnius, Šnipiškės, S. Fino g., 3 kambarių butas,2762,93,6,29816,688,2A,26,43.34,3,1,1,1940,,Medinis,Kita,Kita,,,Varžytynės/aukcionas,,,,,220,470,50,80,7,12.93,25.63,12.0,19.0,2.5,4.7,"VILNIAUS MIESTO SAVIVALDYBĖ VIEŠO AUKCIONO BŪDU PARDUODA NEKILNOJAMĄJĮ TURTĄ (toliau – turtas)
Butas (unikalus Nr. 1094-0146-9058:0006, 43,34 kv. m, vieno aukšto medinio pastato pastogėje, pažymėjimas plane 6A1m); S. Fino g. 2A-26, Vilnius
TURTO NAUDOJIMO SĄLYGA. Patalpos yra pastate, kuris nėra įrašytas į Kultūros vertybių registrą, tačiau yra valstybės saugomos nekilnojamosios kultūros vertybės – Vilniaus senamiesčio, paskelbto kultūros paminklu (unikalus kodas Kultūros vertybių registre 16073) vizualinės apsaugos pozonio teritorijoje. Kultūros paveldo objektų naudojimas ir tvarkymas bei kitų statinių, esančių jo teritorijoje statybos (remonto, rekonstrukcijos) darbai reglamentuojami Lietuvos Respublikos nekilnojamojo kultūros paveldo apsaugos įstatymu bei kitais teisės aktais.
PASTABA. Patalpos parduodamos esamos būklės.
Pradinė pardavimo kaina – 29816 €.
Mažiausias kainos didinimo intervalas – 298 €.
Aukciono dalyvio garantinis įnašas – 2981 €.
Aukciono dalyvio registravimo mokestis – 145 €.
Turto apžiūra 2025-11-06 13.45 val. ir 2025-11-13 13.45 val. Apžiūros laiką suderinti su darbuotoju, atsakingu už turto apžiūrą: Šnipiškių seniūnijos vyresnysis specialistas Audrius Kazakevičius, tel. (0 5) 211 2722, mob. 0 648 02186, el. paštas audrius.kazakevicius@vilnius.lt.
Registracijos pradžia 2025-11-17, 0.00 val., pabaiga 2025-11-19, 23.59 val.
Aukcionai vykdomi informacinių technologijų priemonėmis interneto svetainėje http://www.evarzytynes.lt/.
Aukciono pradžia 2025-11-24, 9.00 val., pabaiga 2025-11-25, 13.59 val.
Aukciono dalyvio garantinis įnašas ir registravimo mokestis turi būti sumokėti iki dokumentų pateikimo registruoti (mokėti į Vilniaus miesto savivaldybės administracijos (kodas 188710061), sąskaitą LT63 7044 0600 0123 5132, AB SEB banke, banko kodas 70440).
Nekilnojamojo turto pirkimo-pardavimo sutartis su aukciono laimėtoju turi būti sudaryta per 30 dienų nuo pardavimo aukcione vykdymo dienos, o visa nekilnojamojo turto kaina sumokėta ne vėliau kaip per 10 dienų po nekilnojamojo turto pirkimo-pardavimo sutarties pasirašymo.
Darbuotoja atsakinga už informacijos teikimą: Nekilnojamojo turto skyriaus vyr. specialistė Ramūnė Abukauskienė, tel. (8 5) 211 2711, 211 2705, el. paštas ramune.abukauskiene@vilnius.lt.
Informaciją dėl sutarčių projektų teikia Teisės grupės patarėja Vilma Jūrienė, tel. (.",+370 521 12711
Vilnius, Naujoji Vilnia, Parko g., 1 kambario butas,16700,52,38,36500,1789,48,,20.4,1,4,5,1976,,Mūrinis,Centrinis,Įrengtas,G,,Tualetas ir vonia atskirai Virtuvė sujungta su kambariu,,Skalbimo mašina Su baldais Šaldytuvas Virtuvės komplektas Dušo kabina,Kodinė laiptinės spyna,,170,140,170,140,,,,26.5,23.5,11.8,11.2,"Vilnius, Naujoji Vilnia, Parko g.
1 k.,20,4 m2 bendras plotas, 4 aukštai iš 5.
Kaina 36500€.

Skubiai parduodamas 1 kambario butas Naujojoje Vilnioje, Parko g. 48, mūriniame bendrabučio tipo name. Bendrame koridoriuje yra tik 7 butai, kurioje yra bendra virtuvė ir dušas. Butas šviesus, šiltas (ne kampinis), parduodamas su baldais ir buitine technika, WC ir dušas atskirai, naudojamas bute, kartu tik su vienu kaimynu. Šiam bute galima iš karto gyventi. Tinkamas gyventi ir investicijai.

NT Brokerių paslaugos nepageidaujamos.

--PRIVALUMAI--

• Butas šviesus, šiltas, langai pietų kryptimi;
• Nedideli šildymo, vandens ir komunalinių paslaugų mokesčiai;
• Langas plastikinis;
• Aplink daug žalumos: Gerovės parkas, upė Vilnelė;
• Tvarkinga laiptinė, kodinė laiptinės spyna;
• Rakinamos lauko ir koridorių durys;
• Kieme vaikų žaidimo aikštelė, automobilių stovėjimo aikštelė;
• Strategiškai puiki vieta: šalia mokyklos, vaikų darželiai, parduotuvės, turgus, bažnyčia, vaistinės.
• Netoliese autobusų stotelė, iš kurios važiuoja 8 autobusai įvairiais maršrutais;

--BENDRA INFORMACIJA--

• Pastato tipas – mūrinis;
• Statybos metai – 1976;
• Aukštas – 4/5;
• Kambarių sk. – 1;
• Bendras plotas – 20,4 m2 (tame tarpe 12m2 kambarys, pusė prieškambario (2,4m2 iš 4,8m2) ir 6 m2 bendros virtuvės);
• Šildymas – centrinis;

--INFRASTRUKTŪRA--

• Puikiai išvystyta infrastruktūra: netoliese mokyklos, darželiai, poliklinika, policija, parduotuvės (NORFA, IKI, MAXIMA, LIDL, MOKI VEŽI), turgelis.
• Greitas susisiekimas su centru tiek važiuojančiu autotransportu, traukiniu, bei automobiliu;
• Netoliese Gerovės parkas, teka upė Vilnelė (pasivaikščiojimo takai, paplūdimys), Rokantiškių piliakalnis, Pavilnių regioninis parkas (pažintiniai takai).",+370 666 49772
Vilnius, Žvėrynas, Paribio g., 2 kambarių poilsio patalpa,7082,95,75,138900,3844,12,58,36.13,2,2,7,2023,"Patalpa, poilsio paskirtis",Monolitinis,Centrinis kolektorinis,Dalinė apdaila,A+,,Yra liftas Nauja kanalizacija Nauja elektros instaliacija Uždaras kiemas Virtuvė sujungta su kambariu,,,Šarvuotos durys Kodinė laiptinės spyna Vaizdo kameros,4400-6228-5409:8325,70,300,420,490,,,,14.0,16.5,4,5.5,"ARDUODAMAS ŠILTAS IR PATOGUS A+ ENERGINĖS KLASĖS 2 KAMBARIŲ BŪSTAS ŽVĖRYNE

Namas turi saugų vidinį kiemelį, kuriame įkurta vaikų žaidimų aikštelė. Būstas labai ramioje netriukšmingoje rajono vietoje, šalia veikia du valstybiniai darželiai ir valstybinės progimnazijos skyrius.Vos už kelių minučių pėsčiomis – prekybos ir laisvalaikio centras “Panorama” bei verslo centrų rajonas (S7, CORE, LINK ir kt.). Patogus susisiekimas su bet kuria Vilniaus vieta, Geležinio Vilko, Narbuto gatvių bei Konstitucijos pr. negirdėsite, bet jas nesunkiai pasieksite.



BŪSTO PRIVALUMAI:
• A+ energinė klasė;
• Grindinis šildymas su autonominiu reguliavimu;
• Būste numatyta galimybė įsirengti rekuperatorių;
• Rami ir draugiška kaimynystė apsupta gamtos – visiškai greta Karoliniškių kraštovaizdžio draustinio;
• Uždaras kiemas;
• Strategiškai patogi vieta;
• Greta prekybos centras “Panorama”, verslo centrai (S7, Core, LINK ir kt.) ir mokymosi įstaigos;

BENDRA INFORMACIJA:

• Adresas – Paribio g. 12, Vilnius;
• Statybos metai – 1984, Rekonstrukcija - 2023;
• Namo tipas – monolitinis gelžbetonis;
• Aukštas – 2 iš 7;
• Kambarių skaičius - 2;
• Bendras plotas - 36,13 kv/m ;
• Paskirtis - Poilsio;
• Šildymas - centrinis kolektorinis;
• Vanduo - miesto;
• Nuotekos - miesto;
• Parkavimas - požeminė parkavimo vieta (galima įsigyti papildomai iš buto savininkų);",+370 650 32044
Vilnius, Rasos, Subačiaus g., 3 kambarių butas,2371,62,13,237006,1818,49,24,130.39,3,1,5,1940,,Mūrinis,Centrinis,Kita,,,Varžytynės/aukcionas,,,,,250,240,140,330,,,,9.0,7.0,2.2,1.7,"VILNIAUS MIESTO SAVIVALDYBĖ VIEŠO AUKCIONO BŪDU PARDUODA NEKILNOJAMĄJĮ TURTĄ (toliau – turtas)
Butas su rūsiu (unikalus Nr. 4400-4432-7299:5538, 130,39 kv. m, 5 aukštų mūrinio pastato cokoliniame aukšte, pažymėjimas plane 1A5/p); Subačiaus g. 49-24, Vilnius
TURTO NAUDOJIMO SĄLYGA. Patalpos yra pastate, kuris yra nekilnojamosios kultūros vertybės – Vilniaus žydų darbo stovyklos namų ir vietos komplekso (unikalus kodas - 12632) - Vilniaus žydų darbo stovyklos namų ir vietos komplekso Antras namas (unikalus kodas- 37952). Kultūros paveldo objektų naudojimas ir tvarkymas bei kitų statinių, esančių jo teritorijoje statybos (remonto, rekonstrukcijos) darbai reglamentuojami Lietuvos Respublikos nekilnojamojo kultūros paveldo apsaugos įstatymu bei kitais teisės aktais.
PASTABA. Patalpos parduodamos esamos būklės.
Pradinė pardavimo kaina – 237600 €.
Mažiausias kainos didinimo intervalas – 2376 €.
Aukciono dalyvio garantinis įnašas – 23760 €.
Aukciono dalyvio registravimo mokestis – 145 €.
Turto apžiūra 2025-11-05 15.00 val. ir 2025-11-12 15.00 val. Apžiūros laiką suderinti su darbuotoju, atsakingu už turto apžiūrą: Janina Aleksiukienė, vyr. specialistė, tel. (0 5) 211 2206, 0 648 74573, el. paštas janina.aleksiukiene@vilnius.lt.
Registracijos pradžia 2025-11-17, 0.00 val., pabaiga 2025-11-19, 23.59 val.
Aukcionai vykdomi informacinių technologijų priemonėmis interneto svetainėje http://www.evarzytynes.lt/.
Aukciono pradžia 2025-11-24, 9.00 val., pabaiga 2025-11-25, 13.59 val.
Aukciono dalyvio garantinis įnašas ir registravimo mokestis turi būti sumokėti iki dokumentų pateikimo registruoti (mokėti į Vilniaus miesto savivaldybės administracijos (kodas 188710061), sąskaitą LT63 7044 0600 0123 5132, AB SEB banke, banko kodas 70440).
Nekilnojamojo turto pirkimo-pardavimo sutartis su aukciono laimėtoju turi būti sudaryta per 30 dienų nuo pardavimo aukcione vykdymo dienos, o visa nekilnojamojo turto kaina sumokėta ne vėliau kaip per 10 dienų po nekilnojamojo turto pirkimo-pardavimo sutarties pasirašymo.
Darbuotoja atsakinga už informacijos teikimą: Nekilnojamojo turto skyriaus vyr. specialistė Ramūnė Abukauskienė, tel. (0 5) 211 2711, 211 2705, el. paštas ramune.abukauskiene@vilnius.lt.
Informaciją dėl sutarčių projektų teikia Teisės grupės patarėja Vilma Jūrienė, tel. (0 5) 211 2002.",+370 521 12711
